name,address1,cate_gories
Milano's Bar,"51 E Houston St, New York, NY, 10012",Dive Bars
Welcome to the Johnson's,"123 Rivington St, New York, NY, 10002",Dive Bars
Clem's,"264 Grand St, Brooklyn, NY, 11211","Beer, Wine & Spirits, Dive Bars"
Broadway Dive Bar,"2662 Broadway, New York, NY, 10025",Dive Bars
B61,"187 Columbia St, Brooklyn, NY, 11231",Dive Bars
The Trailer Park Lounge,"271 W 23rd St, New York, NY, 10011","Dive Bars, American (New)"
Mama's Bar,"34 Ave B, New York, NY, 10009","Dive Bars, Sports Bars"
The Don Lounge,"951 Dean St, Brooklyn, NY, 11238","Bars, Bar Crawl"
169 Bar,"169 E Broadway, New York, NY, 10002","American (Traditional), Dive Bars"
Old Timers,"1157 Myrtle Ave, Brooklyn, NY, 11206",Dive Bars
Foods of NY Tours,"9 Barrow St, New York, NY, 10014","Walking Tours, Food Tours, Historical Tours"
New York Walking Tours,"178 Prince St, New York, NY, 10012",Walking Tours
American Cheez,"444 7th Ave, Brooklyn, NY, 11215","Pizza, Dive Bars"
Lower East Side History Project Tours,", New York, NY, 10012",Tours
Uncle Sam's New York,"501 5th Ave, New York, NY, 10017",Tours
Sunken Harbor Club,"372 Fulton St, Brooklyn, NY, 11201","Cocktail Bars, Tiki Bars"
The Up & Up,"116 MacDougal St, New York, NY, 10012",Cocktail Bars
Attaboy,"134 Eldridge St, New York, NY, 10002","Cocktail Bars, Empanadas"
Ye's Apothecary,"119 Orchard St, New York, NY, 10002","Szechuan, Speakeasies"
The Reading Room,"16 E 46th St, New York, NY, 10017","American (New), Cocktail Bars, Breakfast & Brunch"
Paper Planes,"154 Orchard St, New York, NY, 10002","Cocktail Bars, Speakeasies, Lounges"
Ollie,"64 Downing St, New York, NY, 10014",Cocktail Bars
The Woo Woo,"266 W 47th St, New York, NY, 10036",Speakeasies
ELLA,"347 Myrtle Ave, Brooklyn, NY, 11205",Bars
Swingers NoMad,"35 W 29th St, New York, NY, 10001","Mini Golf, Cocktail Bars, Street Vendors"
Harriet's Rooftop - Brooklyn,"60 Furman St, Brooklyn, NY, 11201","Lounges, Cocktail Bars"
11 Tigers,"225 Avenue B, New York, NY, 10009","Asian Fusion, Cocktail Bars, Japanese"
Please Don't Tell,"113 St Marks Pl, New York, NY, 10009","Lounges, Speakeasies"
Sally Can Wait,"252 Broome St, New York, NY, 10002",Cocktail Bars
Peachy's,"5 Doyers St, New York, NY, 10013",Cocktail Bars
Saint Tuesday,"24 Cortlandt Aly, New York, NY, 10013",Lounges
Vine,"81 Fleet Pl, Brooklyn, NY, 11201","Venues & Event Spaces, Cocktail Bars"
Hidden Lane,"129 E 15th St, New York, NY, 10003",Bars
Botanica Bar,"47 E Houston St, New York, NY, 10012","Beer Bar, Cocktail Bars"
Basement,"45 Mott St, New York, NY, 10013",Bars
21 Bar,"4318 Broadway, New York, NY, 10033",Bars
Water St. Tavern,"71 Jay St, Brooklyn, NY, 11201","Cocktail Bars, Lounges"
TALEA,"61 Bergen St, Brooklyn, NY, 11201","Bars, Coffee & Tea, Breweries"
The Upstairs at 66,"46 Stone St, New York, NY, 10004","Lounges, Arcades, Speakeasies"
The Binc,"60 Henry St, Brooklyn, NY, 11201","Cocktail Bars, Tapas/Small Plates"
Fresh Kills Bar,"161 Grand St, Brooklyn, NY, 11249",Cocktail Bars
Strangelove,"229 E 53rd St, New York, NY, 10022",Dive Bars
Elsa,"136 Atlantic Ave, Brooklyn, NY, 11201",Cocktail Bars
Penthouse Lounge and Bar,"2027 Emmons Avenue, Brooklyn, NY, 11235",Lounges
Crown Alley,"263 West 19th St, New York, NY, 10011","Cocktail Bars, Beer Bar"
Apotheke,"9 Doyers St, New York, NY, 10013","Cocktail Bars, Speakeasies"
Pineapple Club,"509 E 6th St, New York, NY, 10009","Cocktail Bars, American (New), Seafood"
Nowadays,"56-06 Cooper Ave, Ridgewood, NY, 11385",Beer Gardens
The Belfry,"222 E 14th St, New York, NY, 10003",Cocktail Bars
Twins Lounge,"732 Manhattan Ave, Brooklyn, NY, 11222",Bars
We Got Company,"441 Metropolitan Ave, Brooklyn, NY, 11211",Cocktail Bars
Subject,"188 Suffolk St, New York, NY, 10002",Cocktail Bars
Celestine,"1 John St, Brooklyn, NY, 11201","Mediterranean, Bars"
Overstory,"70 Pine St, New York, NY, 10005",Cocktail Bars
Rooftop 93,"93 Bowery, New York, NY, 10002","Lounges, Cocktail Bars"
Death & Co,"433 E 6th St, New York, NY, 10009","Lounges, Cocktail Bars"
Pebble Bar,"67 W 49th St, New York, NY, 10112","Bars, Venues & Event Spaces"
Chapel Bar,"275 Park Ave S, New York, NY, 10010",Cocktail Bars
Nothing Really Matters,"1627 Broadway, New York, NY, 10019",Cocktail Bars
BierWax,"556 Vanderbilt Ave, Brooklyn, NY, 11238",Beer Bar
Mama Tried,"147 27th St, Brooklyn, NY, 11232",Cocktail Bars
Pokito,"155 S 4th St, Brooklyn, NY, 11211",Cocktail Bars
AlMar,"111 Front St, Brooklyn, NY, 11201","Italian, Breakfast & Brunch, Cocktail Bars"
Mace,"35 W 8th St, New York, NY, 10011",Cocktail Bars
Luckydog,"303 Bedford Ave, Brooklyn, NY, 11211",Bars
Strong Rope Brewery,"185 Van Dyke St, Brooklyn, NY, 11231",Breweries
142 Sullivan Bar ,"142 Sullivan St, New York, NY, 10012","Wine Bars, Cocktail Bars"
The Headless Widow,"99 1st Ave, New York, NY, 10003",Cocktail Bars
Dali Nyc,"37 Market St, New York, NY, 10002","Tapas/Small Plates, Cocktail Bars"
Minibar,"482 Court St, Brooklyn, NY, 11231","Wine Bars, Lounges"
No Partners Bar,"29-11 21st Ave, Astoria, NY, 11105",Bars
Ampersand,"294 3rd Ave, New York, NY, 10010","Cocktail Bars, American (New)"
The Little Shop,"252 Front St, New York, NY, 10038","Convenience Stores, Bars"
Thyme Bar,"20 W 23rd St Cellar, New York, NY, 10010","Cocktail Bars, Speakeasies"
Do Not Disturb,"285 W 12th St, New York, NY, 10014","Speakeasies, Seafood"
Livingston Manor,"42 Hoyt St, Brooklyn, NY, 11201",Bars
Izzy Rose,"214 Greene Ave, Brooklyn, NY, 11238","Cocktail Bars, Vegan, Cafes"
Apotheke Nomad,"9 W 26th St, New York, NY, 10010","Cocktail Bars, Speakeasies"
Holywater,"112 Reade St, New York, NY, 10013","Cocktail Bars, Lounges"
Hard to Explain,"224 E 10th St, New York, NY, 10003","Coffee & Tea, Wine Bars, Beer Bar"
Watermark,"Pier 15, 78 S St, New York, NY, 10038","Lounges, Cocktail Bars, Seafood"
Lizzmonade,"Brooklyn Bridge Park, Brooklyn, NY, 11201","Juice Bars & Smoothies, Bars"
The Lobby,"252 Schermerhorn St, Brooklyn, NY, 11217",Bars
The Rockwell Place,"31 Rockwell Pl, Brooklyn, NY, 11217",Cocktail Bars
