name,address1,cate_gories
Yebo Beach Haus,56 E Andrews Dr NW,"Bars, Seafood, Tapas/Small Plates"
There on Fifth,22 5th St NW,"Burgers, American (New), Cocktail Bars"
Rumi's Kitchen,6112 Roswell Rd NE,"Persian/Iranian, Cocktail Bars"
The Betty,374 East Paces Ferry Rd NE,"Bars, Supper Clubs"
Eight Sushi Lounge,930 Howell Mill Rd NW,"Sushi Bars, Lounges, Japanese"
Fat Matt's Rib Shack,1811 Piedmont Ave NE,"Barbeque, American (Traditional), Beer Bar"
bartaco,299 N Highland Ave NW,"Mexican, Ice Cream & Frozen Yogurt, Bars"
Bluetop,5362 Peachtree Rd,"Bars, American (Traditional)"
Virgils Gullah Kitchen & Bar,3721 Main St,"Soul Food, Cocktail Bars, Seafood"
Grana,1835 Piedmont Ave NE,"Italian, Pizza"
Mamitaco,800 Whitlock Ave NW,"Tacos, Bars, Seafood"
Sauced In Marietta,2055 S Park Pl NW,"Bars, Southern, Comfort Food"
Hamp & Harry’s,168 Roswell St NE,"Cocktail Bars, American (New), Gastropubs"
Bacchanalia,1460 Ellsworth Industrial Blvd,"American (New), Bars, Seafood"
Nonis,357 Edgewood Ave,"Italian, Comfort Food, Cocktail Bars"
Muchacho,904 Memorial Dr SE,"Tacos, Breakfast & Brunch, Cocktail Bars"
El Super Pan,675 Ponce De Leon Ave NE,"Latin American, Bars, Sandwiches"
Flatlands Bourbon And Bayou,52 N Main St,"Cajun/Creole, Bars, Seafood"
Hudson Grille,942 Peachtree St NE,"American (Traditional), Sports Bars"
Victory Sandwich Bar,340 Church St,Bars
Polaris,265 Peachtree St NE,"American (Traditional), Cocktail Bars"
HOBNOB Neighborhood Tavern - Dunwoody,1221 Ashford Crossing,"American (Traditional), Sports Bars"
Empire State South,999 Peachtree St NE,"Southern, Cocktail Bars, Coffee & Tea"
Lucky's Burger & Brew,305 Brookhaven Ave,"Burgers, Sports Bars, Chicken Wings"
Midtown Beach Club,1150 Crescent Ave NE,"Bars, Dance Clubs, Swimming Pools"
Nino's Italian Restaurant,1931 Cheshire Bridge Rd NE,"Italian, Bars, Pasta Shops"
Tin Lizzy's Cantina,415 Memorial Dr SE,"Mexican, Sports Bars, Tex-Mex"
Steinbeck's Ale House,659 E Lake Dr,Bars
Tavern at Towne Lake,1003 Towne Lake Hills E,"American (New), Bars, Paint & Sip"
Whitehall Tavern,2391 Peachtree Rd NW,"American (Traditional), Bars, Burgers"
Cheeky Taqueria,1039 Peachtree Industrial Blvd,"Mexican, Sports Bars, Latin American"
Estrella Rooftop,550 Somerset Terrace NE,"Bars, Mexican"
Vesper,924 Garrett St,"Tapas Bars, Cocktail Bars, Beer Bar"
Yard House,261 19th St NW,"American (New), Vegetarian, Bars"
C & S Seafood and Oyster Bar - Sandy Springs,6125 Roswell Rd,"Seafood, Bars, Breakfast & Brunch"
Lickety Split,1155 Virginia Ave,"Southern, Cocktail Bars"
Local Three,3290 Northside Pkwy,"American (Traditional), Bars"
North Italia,4600 Ashford Dunwoody Rd NE,"Wine Bars, Italian, Breakfast & Brunch"
Koo Koo Room,1140 Crescent Ave,"Dance Clubs, Lounges"
AJs Famous Seafood and Poboys,2100 Roswell Rd,"Cajun/Creole, Seafood, Sandwiches"
STK Steakhouse,1075 Peachtree St NE,"Steakhouses, American (New), Cocktail Bars"
Scout,321 W Hill St,"Bars, American (Traditional), Breakfast & Brunch"
Bangkok Station,550 Pharr Rd,"Thai, Salad, Cocktail Bars"
Elleven45 Lounge,2110 Peachtree Rd NW,"Hookah Bars, Lounges, Tapas Bars"
Ammazza,591 Edgewood Ave SE,"Pizza, Italian, Bars"
Lure,1106 Crescent Ave NE,"Seafood, Bars, American (New)"
Hopstix,3404 Pierce Dr NE,"Breweries, Asian Fusion, Beer Bar"
Match Bar & Oven/ Brunch,199 Walker St SW,"Lounges, Breakfast & Brunch"
Red Pepper Taqueria,3135 Piedmont Rd,"Sports Bars, Mexican, Cocktail Bars"
Pea Ridge Kitchen and Bar,2607 Lawrenceville Hwy,"American (New), Bars"
Raging Burrito & Taco,141 Sycamore St,"Bars, Tacos, Tex-Mex"
Sugar Factory,1080 Peachtree St NE,"American (Traditional), Desserts, Bars"
Elmyr,1091 Euclid Ave NE,"Mexican, Dive Bars"
Brewhouse Cafe,401 Moreland Ave NE,"Pubs, Sports Bars, Breakfast & Brunch"
Union EAV,485 Flat Shoals Ave,"Music Venues, Pubs"
Drift Fish House & Oyster Bar,4475 Roswell Rd,"Seafood, Cocktail Bars"
"Snooze, an A.M. Eatery",980 Howell Mill Rd,"Breakfast & Brunch, Cocktail Bars, American (Traditional)"
Habitat Kitchen & Bar,310 Pharr Rd NE,"Mexican, Bars"
Establishment,1197 Peachtree St NE,"American (New), Lounges"
Little Alley Steak - Buckhead,3500 Lenox Rd NE,"Steakhouses, Bars"
Hammerhead's Seafood & Sports Grille,415 Peachtree Industrial Blvd,Seafood
Seed Kitchen & Bar,1311 Johnson Ferry Rd,"American (Traditional), Bars"
Briarcliff Woods Beach Club,1830 Morris Landers Dr NE,
Paradise Rental Boats,651 Marina Rd SE,"Boat Dealers, Boat Repair, Vacation Rentals"
R. Thomas Deluxe Grill,1812 Peachtree St NW,"Vegan, American (Traditional), Breakfast & Brunch"
Zama Mexican Cuisine & Margarita Bar,4600 W Village Way SE,"Mexican, Cocktail Bars"
North River Tavern,8879 Roswell Rd,"Dive Bars, Chicken Wings, Party & Event Planning"
Meehan's Public House - Downtown,200 Peachtree St,"Bars, Breakfast & Brunch, Burgers"
Chicago Pizza And Sports Grille,3150 Highlands Pkwy SE,"Pizza, Sports Bars"
Lily’s Restaurant & Lounge,321 Pharr Rd NE,"American (New), Mediterranean, Bars"
Yard House,825 Battery Ave SE,"American (New), Bars, Vegetarian"
Blu Seafood House,935 Marietta St NW,Seafood
Compound,1008 Brady Ave,Dance Clubs
Nouveau Bar & Grill,103 W Mill St,"Bars, Breakfast & Brunch, American (Traditional)"
bartaco,969 Marietta St NW,"Mexican, Tapas Bars"
Tin Lizzy's Cantina,26 Andrew Young International Blvd NE,"Tex-Mex, Sports Bars, Mexican"
Six Feet Under Pub & Fish House- Westside,685 11th St NW,"Seafood, Tacos, Cocktail Bars"
The Glenwood,1263 Glenwood Ave SE,"American (New), Sports Bars, Barbeque"
Agave Restaurant,242 Blvd SE,"New Mexican Cuisine, Cocktail Bars"
Blue India,933 Peachtree St NE,"Indian, British, Cocktail Bars"
Brookwood Grill,880 Holcomb Bridge Rd,"American (Traditional), Bars, Seafood"
Hawkers Asian Street Food - Atlanta,661 Auburn Ave NE,"Pan Asian, Tapas/Small Plates, Bars"
Big Easy Grille,1193 Collier Rd NW,"Seafood, Cajun/Creole, Bars"
Barcelona Inman Park,240 N Highland Ave NE,"Spanish, Tapas/Small Plates, Tapas Bars"
Six Feet Under Pub & Fish House - Grant Park,437 Memorial Dr SE,"Seafood, Pubs, Sandwiches"
Sea Salt Seafood Lounge,1044 Greenwood Ave NE,"Seafood, Beer Bar"
Paces & Vine,4300 Paces Ferry Rd SE,"American (New), Breakfast & Brunch, Bars"
House of Hookah,410 14th St NW,Hookah Bars
Zocalo Mexican Kitchen and Cantina,187 10th St NE,"Mexican, Lounges"
Truck & Tap Duluth,3137 Main St NW,"Food Trucks, Beer Bar"
Pappadeaux Seafood Kitchen,10795 Davis Dr,"Cajun/Creole, Seafood, Bars"
Planet Hookah Cafe,3350 Chamblee Tucker Rd,"Hookah Bars, Juice Bars & Smoothies"
Boga Latin Cuisine,5942 Buford Hwy,"Latin American, Cuban, Cocktail Bars"
Restaurant Holmes,50 S Main St,"Tapas/Small Plates, American (Traditional), Cocktail Bars"
